movie_id,title,genres,tags
1,Interstellar,Sci-Fi|Drama,space wormhole time-dilation
2,Inception,Sci-Fi|Thriller,dreams heist mind-bending
3,The Dark Knight,Action|Crime|Drama,hero joker gotham
4,The Matrix,Sci-Fi|Action,simulation cyberpunk ai
5,La La Land,Romance|Drama|Music,jazz love hollywood
6,Parasite,Thriller|Drama,class satire suspense
7,Avengers Endgame,Action|Sci-Fi|Adventure,marvel superhero time-travel
8,The Godfather,Crime|Drama,mafia family legacy
9,Whiplash,Drama|Music,mentor obsession percussion
10,Blade Runner 2049,Sci-Fi|Drama|Mystery,replicant dystopia neon
11,Spirited Away,Animation|Fantasy|Adventure,studio-ghibli spirit world
12,Arrival,Sci-Fi|Drama|Mystery,language aliens nonlinear-time
